station|station_name|ctry|state|lat|lon|request_url
72428014821|PORT COLUMBUS INTERNATIONAL AIRPORT|US|OH|39.991|-82.877|https://api.weather.gov/gridpoints/ILN/89,83/forecast
72524014820|CLEVELAND-HOPKINS INTERNATIONAL AP|US|OH|41.406|-81.852|https://api.weather.gov/gridpoints/CLE/78,60/forecast
72429093815|J.M.COX DAYTON INTERNATIONAL AIRPORT|US|OH|39.906|-84.219|https://api.weather.gov/gridpoints/ILN/43,75/forecast
72356013968|TULSA INTERNATIONAL AIRPORT|US|OK|36.199|-95.878|https://api.weather.gov/gridpoints/TSA/45,107/forecast
72353013967|WILL ROGERS WORLD AIRPORT|US|OK|35.388|-97.6|https://api.weather.gov/gridpoints/OUN/95,90/forecast
72693024221|MAHLON SWEET FIELD AIRPORT|US|OR|44.133|-123.216|https://api.weather.gov/gridpoints/PQR/82,44/forecast
72698024229|PORTLAND INTERNATIONAL AIRPORT|US|OR|45.596|-122.609|https://api.weather.gov/gridpoints/PQR/116,107/forecast
72408013739|PHILADELPHIA INTERNATIONAL AIRPORT|US|PA|39.873|-75.227|https://api.weather.gov/gridpoints/PHI/48,72/forecast
72399014711|HARRISBURG INTERNATIONAL AIRPORT|US|PA|40.196|-76.772|https://api.weather.gov/gridpoints/CTP/110,35/forecast
72520094823|PITTSBURGH INTERNATIONAL AIRPORT|US|PA|40.485|-80.214|https://api.weather.gov/gridpoints/PBZ/70,67/forecast
72507014765|THEODORE F GREEN STATE AIRPORT|US|RI|41.723|-71.432|https://api.weather.gov/gridpoints/BOX/64,59/forecast
72208013880|CHARLESTON AFB/INTERNATIONAL AIRPORT|US|SC|32.899|-80.041|https://api.weather.gov/gridpoints/CHS/82,81/forecast
72312003870|GREENVILLE-SPARTANBURG INTL AIRPORT|US|SC|34.906|-82.213|https://api.weather.gov/gridpoints/GSP/71,46/forecast
72651014944|JOE FOSS FIELD AIRPORT|US|SD|43.578|-96.754|https://api.weather.gov/gridpoints/FSD/97,66/forecast
72334013893|MEMPHIS INTERNATIONAL AIRPORT|US|TN|35.056|-89.986|https://api.weather.gov/gridpoints/MEG/45,63/forecast
72327013897|NASHVILLE INTERNATIONAL AIRPORT|US|TN|36.111|-86.688|https://api.weather.gov/gridpoints/OHX/54,55/forecast
72270023044|EL PASO INTERNATIONAL AIRPORT|US|TX|31.812|-106.377|https://api.weather.gov/gridpoints/EPZ/104,58/forecast
72254013904|AUSTIN-BERGSTROM INTL AIRPORT|US|TX|30.183|-97.68|https://api.weather.gov/gridpoints/EWX/158,87/forecast
72253012921|SAN ANTONIO INTERNATIONAL AIRPORT|US|TX|29.544|-98.484|https://api.weather.gov/gridpoints/EWX/127,60/forecast
72259003927|DALLAS/FT WORTH INTERNATIONAL AP|US|TX|32.897|-97.022|https://api.weather.gov/gridpoints/FWD/81,109/forecast
72243012960|G BUSH INTERCONTINENTAL AP/HOUSTON AP|US|TX|29.984|-95.361|https://api.weather.gov/gridpoints/HGX/65,106/forecast
72572024127|SALT LAKE CITY INTERNATIONAL AIRPORT|US|UT|40.771|-111.965|https://api.weather.gov/gridpoints/SLC/98,176/forecast
72401693736|CHARLOTTESVILLE ALBEMARLE ARPT|US|VA|38.137|-78.455|https://api.weather.gov/gridpoints/LWX/51,31/forecast
72403093738|WASHINGTON DULLES INTERNATIONAL AP|US|VA|38.935|-77.447|https://api.weather.gov/gridpoints/LWX/82,71/forecast
72308693741|NWPT NEWS/WIMBURG INTL APT|US|VA|37.132|-76.494|https://api.weather.gov/gridpoints/AKQ/81,63/forecast
72308013737|NORFOLK INTERNATIONAL AIRPORT|US|VA|36.904|-76.193|https://api.weather.gov/gridpoints/AKQ/93,55/forecast
72401013740|RICHMOND INTERNATIONAL AIRPORT|US|VA|37.512|-77.323|https://api.weather.gov/gridpoints/AKQ/50,76/forecast
72405013743|RONALD REAGAN WASHINGTON NATL AP|US|VA|38.847|-77.035|https://api.weather.gov/gridpoints/LWX/97,69/forecast
72617014742|BURLINGTON INTERNATIONAL AIRPORT|US|VT|44.468|-73.15|https://api.weather.gov/gridpoints/BTV/91,56/forecast
72785024157|SPOKANE INTERNATIONAL AIRPORT|US|WA|47.622|-117.528|https://api.weather.gov/gridpoints/OTX/138,90/forecast
72793024233|SEATTLE-TACOMA INTERNATIONAL AIRPORT|US|WA|47.445|-122.314|https://api.weather.gov/gridpoints/SEW/124,60/forecast
72645014898|AUSTIN STRAUBEL INTERNATIONAL AP|US|WI|44.48|-88.137|https://api.weather.gov/gridpoints/GRB/75,30/forecast
72640014839|GENERAL MITCHELL INTERNATIONAL AP|US|WI|42.955|-87.905|https://api.weather.gov/gridpoints/MKX/89,61/forecast
72414013866|YEAGER AIRPORT|US|WV|38.38|-81.591|https://api.weather.gov/gridpoints/RLX/64,69/forecast
72569024089|NATRONA COUNTY INTERNATIONAL AP|US|WY|42.898|-106.474|https://api.weather.gov/gridpoints/RIW/183,98/forecast
